2026-05-10 13:13:12,404 | WARNING | GDELT request failed: HTTPSConnectionPool(host='api.gdeltproject.org', port=443): Max retries exceeded with url: /api/v2/doc/doc?query=%28%22AMC+Entertainment+Holdings%22+OR+%22AMC+E. Retry/skip.
2026-05-10 13:13:22,119 | INFO | Ticker AMC fallback split window 2018-01-01 -> 2018-01-31 got 141 articles
2026-05-10 13:13:22,197 | INFO | Ticker AMC reached max_windows_per_ticker=1. Stop further windows.
2026-05-10 13:13:22,197 | INFO | Ticker AMC done. months_processed=1 kept_articles=30
2026-05-10 13:13:44,528 | WARNING | GDELT status=429. Sleeping 15.2s then retry/skip. query=("Clear Channel Outdoor Holdings" OR "Clear Channel Outdoor earnings" OR "Clear Channel Outdoor stock") sourcelang:english
2026-05-10 13:14:19,725 | WARNING | GDELT request failed: HTTPSConnectionPool(host='api.gdeltproject.org', port=443): Max retries exceeded with url: /api/v2/doc/doc?query=%28%22Clear+Channel+Outdoor+Holdings%22+OR+%22C. Retry/skip.
2026-05-10 13:14:43,935 | WARNING | GDELT request failed: HTTPSConnectionPool(host='api.gdeltproject.org', port=443): Max retries exceeded with url: /api/v2/doc/doc?query=%28%22Clear+Channel+Outdoor+Holdings%22+OR+%22C. Retry/skip.
2026-05-10 13:15:06,434 | WARNING | GDELT request failed: HTTPSConnectionPool(host='api.gdeltproject.org', port=443): Max retries exceeded with url: /api/v2/doc/doc?query=%28%22Clear+Channel+Outdoor+Holdings%22+OR+%22C. Retry/skip.
2026-05-10 13:15:21,291 | WARNING | GDELT status=429. Sleeping 15.1s then retry/skip. query=("Clear Channel Outdoor Holdings" OR "Clear Channel Outdoor earnings" OR "Clear Channel Outdoor stock") sourcelang:english
2026-05-10 13:15:48,351 | WARNING | GDELT status=429. Sleeping 30.9s then retry/skip. query=("Clear Channel Outdoor Holdings" OR "Clear Channel Outdoor earnings" OR "Clear Channel Outdoor stock") sourcelang:english
2026-05-10 13:16:19,212 | INFO | Ticker CCO fallback split window 2018-01-01 -> 2018-01-31 got 0 articles
2026-05-10 13:16:19,271 | INFO | Ticker CCO reached max_windows_per_ticker=1. Stop further windows.
2026-05-10 13:16:19,271 | INFO | Ticker CCO done. months_processed=1 kept_articles=0
2026-05-10 13:16:39,287 | WARNING | GDELT request failed: HTTPSConnectionPool(host='api.gdeltproject.org', port=443): Max retries exceeded with url: /api/v2/doc/doc?query=%28%22Cross+Country+Healthcare%22+OR+%22Cross+C. Retry/skip.
2026-05-10 13:17:04,044 | INFO | Ticker CCRN reached max_windows_per_ticker=1. Stop further windows.
2026-05-10 13:17:04,045 | INFO | Ticker CCRN done. months_processed=1 kept_articles=14
2026-05-10 13:17:32,635 | WARNING | GDELT status=429. Sleeping 15.8s then retry/skip. query=("Century Communities Inc" OR "Century Communities earnings" OR "Century Communities stock") sourcelang:english -"carbon capture" -"CCS technology"
2026-05-10 13:18:08,428 | WARNING | GDELT request failed: HTTPSConnectionPool(host='api.gdeltproject.org', port=443): Max retries exceeded with url: /api/v2/doc/doc?query=%28%22Century+Communities+Inc%22+OR+%22Century+. Retry/skip.
2026-05-10 13:18:32,868 | WARNING | GDELT request failed: HTTPSConnectionPool(host='api.gdeltproject.org', port=443): Read timed out. (read timeout=20). Retry/skip.
2026-05-10 13:18:44,046 | WARNING | GDELT status=429. Sleeping 30.5s then retry/skip. query=("Century Communities Inc" OR "Century Communities earnings" OR "Century Communities stock") sourcelang:english -"carbon capture" -"CCS technology"
2026-05-10 13:19:34,521 | WARNING | GDELT request failed: HTTPSConnectionPool(host='api.gdeltproject.org', port=443): Max retries exceeded with url: /api/v2/doc/doc?query=%28%22Century+Communities+Inc%22+OR+%22Century+. Retry/skip.
2026-05-10 13:19:50,589 | INFO | Ticker CCS fallback split window 2018-01-01 -> 2018-01-31 got 13 articles
